date,rank,song,artist,last-week,peak-rank,weeks-on-board
04/08/1958,1,Poor Little Fool,Ricky Nelson,,1,1
11/08/1958,1,Poor Little Fool,Ricky Nelson,1,1,2
18/08/1958,1,Nel Blu Dipinto Di Blu (Volaré),Domenico Modugno,2,1,3
25/08/1958,1,Little Star,The Elegants,2,1,4
01/09/1958,1,Nel Blu Dipinto Di Blu (Volaré),Domenico Modugno,2,1,5
08/09/1958,1,Nel Blu Dipinto Di Blu (Volaré),Domenico Modugno,1,1,6
15/09/1958,1,Nel Blu Dipinto Di Blu (Volaré),Domenico Modugno,1,1,7
22/09/1958,1,Nel Blu Dipinto Di Blu (Volaré),Domenico Modugno,1,1,8
29/09/1958,1,It's All In The Game,Tommy Edwards,3,1,7
06/10/1958,1,It's All In The Game,Tommy Edwards,1,1,8
13/10/1958,1,It's All In The Game,Tommy Edwards,1,1,9
20/10/1958,1,It's All In The Game,Tommy Edwards,1,1,10
27/10/1958,1,It's All In The Game,Tommy Edwards,1,1,11
03/11/1958,1,It's All In The Game,Tommy Edwards,1,1,12
10/11/1958,1,It's Only Make Believe,Conway Twitty,2,1,9
17/11/1958,1,Tom Dooley,The Kingston Trio,2,1,8
24/11/1958,1,It's Only Make Believe,Conway Twitty,2,1,11
01/12/1958,1,"To Know Him, Is To Love Him",The Teddy Bears,3,1,11
08/12/1958,1,"To Know Him, Is To Love Him",The Teddy Bears,1,1,12
15/12/1958,1,"To Know Him, Is To Love Him",The Teddy Bears,1,1,13
22/12/1958,1,The Chipmunk Song,The Chipmunks With David Seville,10,1,4
29/12/1958,1,The Chipmunk Song,The Chipmunks With David Seville,1,1,5
05/01/1959,1,The Chipmunk Song,The Chipmunks With David Seville,1,1,6
12/01/1959,1,The Chipmunk Song,The Chipmunks With David Seville,1,1,7
19/01/1959,1,Smoke Gets In Your Eyes,The Platters,2,1,10
26/01/1959,1,Smoke Gets In Your Eyes,The Platters,1,1,11
02/02/1959,1,Smoke Gets In Your Eyes,The Platters,1,1,12
09/02/1959,1,Stagger Lee,Lloyd Price,5,1,10
16/02/1959,1,Stagger Lee,Lloyd Price,1,1,11
23/02/1959,1,Stagger Lee,Lloyd Price,1,1,12
02/03/1959,1,Stagger Lee,Lloyd Price,1,1,13
09/03/1959,1,Venus,Frankie Avalon,7,1,5
16/03/1959,1,Venus,Frankie Avalon,1,1,6
23/03/1959,1,Venus,Frankie Avalon,1,1,7
30/03/1959,1,Venus,Frankie Avalon,1,1,8
06/04/1959,1,Venus,Frankie Avalon,1,1,9
13/04/1959,1,Come Softly To Me,The Fleetwoods,2,1,6
20/04/1959,1,Come Softly To Me,The Fleetwoods,1,1,7
27/04/1959,1,Come Softly To Me,The Fleetwoods,1,1,8
04/05/1959,1,Come Softly To Me,The Fleetwoods,1,1,9
11/05/1959,1,The Happy Organ,"Dave ""Baby"" Cortez",2,1,9
18/05/1959,1,Kansas City,Wilbert Harrison,6,1,6
25/05/1959,1,Kansas City,Wilbert Harrison,1,1,7
01/06/1959,1,The Battle Of New Orleans,Johnny Horton,2,1,6
08/06/1959,1,The Battle Of New Orleans,Johnny Horton,1,1,7
15/06/1959,1,The Battle Of New Orleans,Johnny Horton,1,1,8
22/06/1959,1,The Battle Of New Orleans,Johnny Horton,1,1,9
29/06/1959,1,The Battle Of New Orleans,Johnny Horton,1,1,10
